Year,Gebietseinheit,Kategorien,GeoCode,Value
2012,Niedersachsen,Neubau_Anteil,K030,96.4
2012,Braunschweig,Neubau_Anteil,K031,116.3
2012,Braunschweig Stadt,Neubau_Anteil,K03101,88.5
2012,Salzgitter.Stadt,Neubau_Anteil,K03102,104.8
2012,Wolfsburg.Stadt,Neubau_Anteil,K03103,0.0
2012,Gifhorn,Neubau_Anteil,K03151,93.6
2012,Goslar,Neubau_Anteil,K03153,93.8
2012,Helmstedt,Neubau_Anteil,K03154,95.9
2012,Northeim,Neubau_Anteil,K03155,92.5
2012,Peine,Neubau_Anteil,K03157,96.9
2012,Wolfenbüttel,Neubau_Anteil,K03158,104.2
2012,Göttingen,Neubau_Anteil,K03159,125.7
2012,Hannover,Neubau_Anteil,K032,91.1
2012,Hannover Region,Neubau_Anteil,K03241,89.7
2012,Hannover Landeshauptstadt,Neubau_Anteil,K03241001,86.3
2012,Diepholz,Neubau_Anteil,K03251,94.3
2012,Hameln-Pyrmont,Neubau_Anteil,K03252,84.6
2012,Hildesheim,Neubau_Anteil,K03254,102.1
2012,Holzminden,Neubau_Anteil,K03255,95.8
2012,Nienburg (Weser),Neubau_Anteil,K03256,90.4
2012,Schaumburg,Neubau_Anteil,K03257,87.2
2012,Lüneburg,Neubau_Anteil,K033,104.1
2012,Celle,Neubau_Anteil,K03351,200.0
2012,Cuxhaven,Neubau_Anteil,K03352,95.6
2012,Harburg,Neubau_Anteil,K03353,94.2
2012,Lüchow-Dannenberg,Neubau_Anteil,K03354,77.5
2012,Lüneburg,Neubau_Anteil,K03355,96.9
2012,Osterholz,Neubau_Anteil,K03356,91.8
2012,Rotenburg (Wümme),Neubau_Anteil,K03357,91.2
2012,Heidekreis,Neubau_Anteil,K03358,90.8
2012,Stade,Neubau_Anteil,K03359,94.7
2012,Uelzen,Neubau_Anteil,K03360,86.0
2012,Verden,Neubau_Anteil,K03361,0.0
2012,Weser-Ems,Neubau_Anteil,K034,91.5
2012,Delmenhorst.Stadt,Neubau_Anteil,K03401,98.9
2012,Emden Stadt,Neubau_Anteil,K03402,90.1
2012,Oldenburg (Oldb) Stadt,Neubau_Anteil,K03403,93.4
2012,Osnabrück Stadt,Neubau_Anteil,K03404,97.4
2012,Wilhelmshaven Stadt,Neubau_Anteil,K03405,79.7
2012,Ammerland,Neubau_Anteil,K03451,97.5
2012,Aurich,Neubau_Anteil,K03452,95.4
2012,Cloppenburg,Neubau_Anteil,K03453,93.4
2012,Emsland,Neubau_Anteil,K03454,90.9
2012,Friesland,Neubau_Anteil,K03455,82.5
2012,Grafschaft Bentheim,Neubau_Anteil,K03456,91.0
2012,Leer,Neubau_Anteil,K03457,83.8
2012,Oldenburg,Neubau_Anteil,K03458,92.7
2012,Osnabrück,Neubau_Anteil,K03459,89.5
2012,Vechta,Neubau_Anteil,K03460,89.9
2012,Wesermarsch,Neubau_Anteil,K03461,98.4
2012,Wittmund,Neubau_Anteil,K03462,83.8
2013,Niedersachsen,Neubau_Anteil,K030,92.2
2013,Braunschweig,Neubau_Anteil,K031,86.9
2013,Braunschweig Stadt,Neubau_Anteil,K03101,65.8
2013,Salzgitter.Stadt,Neubau_Anteil,K03102,92.6
2013,Wolfsburg.Stadt,Neubau_Anteil,K03103,89.1
2013,Gifhorn,Neubau_Anteil,K03151,92.5
2013,Goslar,Neubau_Anteil,K03153,81.4
2013,Helmstedt,Neubau_Anteil,K03154,83.6
