Year,Gebietseinheit,Kategorie,GeoCode,Value
2011,Niedersachsen,Gebäude,K030,2152080.0
2012,Niedersachsen,Gebäude,K030,2164783.0
2013,Niedersachsen,Gebäude,K030,2178181.0
2014,Niedersachsen,Gebäude,K030,2192538.0
2015,Niedersachsen,Gebäude,K030,2206422.0
2016,Niedersachsen,Gebäude,K030,2222120.0
2017,Niedersachsen,Gebäude,K030,2236433.0
2018,Niedersachsen,Gebäude,K030,2250210.0
2019,Niedersachsen,Gebäude,K030,2264496.0
2011,Braunschweig,Gebäude,K031,400642.0
2012,Braunschweig,Gebäude,K031,402195.0
2013,Braunschweig,Gebäude,K031,403776.0
2014,Braunschweig,Gebäude,K031,405515.0
2015,Braunschweig,Gebäude,K031,407261.0
2016,Braunschweig,Gebäude,K031,409394.0
2017,Braunschweig,Gebäude,K031,411460.0
2018,Braunschweig,Gebäude,K031,413273.0
2019,Braunschweig,Gebäude,K031,415284.0
2011,Braunschweig Stadt,Gebäude,K03101,41057.0
2012,Braunschweig Stadt,Gebäude,K03101,41277.0
2013,Braunschweig Stadt,Gebäude,K03101,41430.0
2014,Braunschweig Stadt,Gebäude,K03101,41569.0
2015,Braunschweig Stadt,Gebäude,K03101,41714.0
2016,Braunschweig Stadt,Gebäude,K03101,41848.0
2017,Braunschweig Stadt,Gebäude,K03101,41913.0
2018,Braunschweig Stadt,Gebäude,K03101,42041.0
2019,Braunschweig Stadt,Gebäude,K03101,42196.0
2011,Salzgitter.Stadt,Gebäude,K03102,22855.0
2012,Salzgitter.Stadt,Gebäude,K03102,22915.0
2013,Salzgitter.Stadt,Gebäude,K03102,22992.0
2014,Salzgitter.Stadt,Gebäude,K03102,23039.0
2015,Salzgitter.Stadt,Gebäude,K03102,23082.0
2016,Salzgitter.Stadt,Gebäude,K03102,23143.0
2017,Salzgitter.Stadt,Gebäude,K03102,23219.0
2018,Salzgitter.Stadt,Gebäude,K03102,23267.0
2019,Salzgitter.Stadt,Gebäude,K03102,23323.0
2011,Wolfsburg.Stadt,Gebäude,K03103,25930.0
2012,Wolfsburg.Stadt,Gebäude,K03103,26146.0
2013,Wolfsburg.Stadt,Gebäude,K03103,26254.0
2014,Wolfsburg.Stadt,Gebäude,K03103,26395.0
2015,Wolfsburg.Stadt,Gebäude,K03103,26505.0
2016,Wolfsburg.Stadt,Gebäude,K03103,26754.0
2017,Wolfsburg.Stadt,Gebäude,K03103,26923.0
2018,Wolfsburg.Stadt,Gebäude,K03103,26999.0
2019,Wolfsburg.Stadt,Gebäude,K03103,27053.0
2011,Gifhorn,Gebäude,K03151,52601.0
2012,Gifhorn,Gebäude,K03151,52930.0
2013,Gifhorn,Gebäude,K03151,53386.0
2014,Gifhorn,Gebäude,K03151,53876.0
2015,Gifhorn,Gebäude,K03151,54349.0
2016,Gifhorn,Gebäude,K03151,54853.0
2017,Gifhorn,Gebäude,K03151,55475.0
2018,Gifhorn,Gebäude,K03151,55961.0
2019,Gifhorn,Gebäude,K03151,56460.0
2011,Goslar,Gebäude,K03153,37985.0
2012,Goslar,Gebäude,K03153,38014.0
2013,Goslar,Gebäude,K03153,38059.0
2014,Goslar,Gebäude,K03153,38121.0
2015,Goslar,Gebäude,K03153,38162.0
2016,Goslar,Gebäude,K03153,38221.0
2017,Goslar,Gebäude,K03153,38281.0
2018,Goslar,Gebäude,K03153,38320.0
2019,Goslar,Gebäude,K03153,38416.0
2011,Helmstedt,Gebäude,K03154,28075.0
2012,Helmstedt,Gebäude,K03154,28120.0
2013,Helmstedt,Gebäude,K03154,28200.0
2014,Helmstedt,Gebäude,K03154,28351.0
2015,Helmstedt,Gebäude,K03154,28469.0
2016,Helmstedt,Gebäude,K03154,28674.0
2017,Helmstedt,Gebäude,K03154,28859.0
2018,Helmstedt,Gebäude,K03154,29071.0
2019,Helmstedt,Gebäude,K03154,29245.0
2011,Northeim,Gebäude,K03155,39174.0
2012,Northeim,Gebäude,K03155,39246.0
2013,Northeim,Gebäude,K03155,39295.0
2014,Northeim,Gebäude,K03155,39364.0
2015,Northeim,Gebäude,K03155,39428.0
2016,Northeim,Gebäude,K03155,39533.0
2017,Northeim,Gebäude,K03155,39636.0
2018,Northeim,Gebäude,K03155,39777.0
2019,Northeim,Gebäude,K03155,39880.0
2011,Peine,Gebäude,K03157,39008.0
2012,Peine,Gebäude,K03157,39213.0
2013,Peine,Gebäude,K03157,39432.0
2014,Peine,Gebäude,K03157,39679.0
2015,Peine,Gebäude,K03157,40014.0
2016,Peine,Gebäude,K03157,40380.0
2017,Peine,Gebäude,K03157,40745.0
2018,Peine,Gebäude,K03157,41060.0
2019,Peine,Gebäude,K03157,41513.0
2011,Wolfenbüttel,Gebäude,K03158,34277.0
2012,Wolfenbüttel,Gebäude,K03158,34429.0
2013,Wolfenbüttel,Gebäude,K03158,34563.0
2014,Wolfenbüttel,Gebäude,K03158,34728.0
2015,Wolfenbüttel,Gebäude,K03158,34940.0
2016,Wolfenbüttel,Gebäude,K03158,35090.0
2017,Wolfenbüttel,Gebäude,K03158,35258.0
2018,Wolfenbüttel,Gebäude,K03158,35386.0
2019,Wolfenbüttel,Gebäude,K03158,35537.0
2011,Göttingen,Gebäude,K03159,79680.0
2012,Göttingen,Gebäude,K03159,79905.0
2013,Göttingen,Gebäude,K03159,80165.0
2014,Göttingen,Gebäude,K03159,80393.0
2015,Göttingen,Gebäude,K03159,80598.0
2016,Göttingen,Gebäude,K03159,80898.0
2017,Göttingen,Gebäude,K03159,81151.0
2018,Göttingen,Gebäude,K03159,81391.0
2019,Göttingen,Gebäude,K03159,81661.0
2011,Hannover,Gebäude,K032,500637.0
2012,Hannover,Gebäude,K032,502995.0
2013,Hannover,Gebäude,K032,505143.0
2014,Hannover,Gebäude,K032,507381.0
2015,Hannover,Gebäude,K032,509944.0
2016,Hannover,Gebäude,K032,512428.0
2017,Hannover,Gebäude,K032,514777.0
2018,Hannover,Gebäude,K032,517239.0
2019,Hannover,Gebäude,K032,519660.0
2011,Hannover Region,Gebäude,K03241,220685.0
2012,Hannover Region,Gebäude,K03241,222108.0
2013,Hannover Region,Gebäude,K03241,223246.0
2014,Hannover Region,Gebäude,K03241,224459.0
2015,Hannover Region,Gebäude,K03241,225828.0
2016,Hannover Region,Gebäude,K03241,227033.0
2017,Hannover Region,Gebäude,K03241,228209.0
2018,Hannover Region,Gebäude,K03241,229279.0
2019,Hannover Region,Gebäude,K03241,230412.0
2011,Hannover Landeshauptstadt,Gebäude,K03241001,65835.0
2012,Hannover Landeshauptstadt,Gebäude,K03241001,66234.0
2013,Hannover Landeshauptstadt,Gebäude,K03241001,66465.0
2014,Hannover Landeshauptstadt,Gebäude,K03241001,66747.0
2015,Hannover Landeshauptstadt,Gebäude,K03241001,67159.0
2016,Hannover Landeshauptstadt,Gebäude,K03241001,67378.0
2017,Hannover Landeshauptstadt,Gebäude,K03241001,67623.0
2018,Hannover Landeshauptstadt,Gebäude,K03241001,67805.0
2019,Hannover Landeshauptstadt,Gebäude,K03241001,67995.0
2011,Diepholz,Gebäude,K03251,65429.0
2012,Diepholz,Gebäude,K03251,65758.0
2013,Diepholz,Gebäude,K03251,66150.0
2014,Diepholz,Gebäude,K03251,66542.0
2015,Diepholz,Gebäude,K03251,66980.0
2016,Diepholz,Gebäude,K03251,67419.0
2017,Diepholz,Gebäude,K03251,67821.0
2018,Diepholz,Gebäude,K03251,68241.0
2019,Diepholz,Gebäude,K03251,68609.0
2011,Hameln-Pyrmont,Gebäude,K03252,40902.0
2012,Hameln-Pyrmont,Gebäude,K03252,40992.0
2013,Hameln-Pyrmont,Gebäude,K03252,41090.0
2014,Hameln-Pyrmont,Gebäude,K03252,41160.0
2015,Hameln-Pyrmont,Gebäude,K03252,41234.0
2016,Hameln-Pyrmont,Gebäude,K03252,41325.0
2017,Hameln-Pyrmont,Gebäude,K03252,41422.0
2018,Hameln-Pyrmont,Gebäude,K03252,41521.0
2019,Hameln-Pyrmont,Gebäude,K03252,41621.0
2011,Hildesheim,Gebäude,K03254,71851.0
2012,Hildesheim,Gebäude,K03254,72035.0
2013,Hildesheim,Gebäude,K03254,72273.0
2014,Hildesheim,Gebäude,K03254,72486.0
2015,Hildesheim,Gebäude,K03254,72750.0
2016,Hildesheim,Gebäude,K03254,73041.0
2017,Hildesheim,Gebäude,K03254,73287.0
2018,Hildesheim,Gebäude,K03254,73579.0
2019,Hildesheim,Gebäude,K03254,73900.0
2011,Holzminden,Gebäude,K03255,22130.0
2012,Holzminden,Gebäude,K03255,22171.0
2013,Holzminden,Gebäude,K03255,22181.0
2014,Holzminden,Gebäude,K03255,22199.0
2015,Holzminden,Gebäude,K03255,22257.0
2016,Holzminden,Gebäude,K03255,22293.0
2017,Holzminden,Gebäude,K03255,22315.0
2018,Holzminden,Gebäude,K03255,22360.0
2019,Holzminden,Gebäude,K03255,22399.0
2011,Nienburg (Weser),Gebäude,K03256,36093.0
2012,Nienburg (Weser),Gebäude,K03256,36231.0
2013,Nienburg (Weser),Gebäude,K03256,36360.0
2014,Nienburg (Weser),Gebäude,K03256,36531.0
2015,Nienburg (Weser),Gebäude,K03256,36702.0
2016,Nienburg (Weser),Gebäude,K03256,36964.0
2017,Nienburg (Weser),Gebäude,K03256,37139.0
2018,Nienburg (Weser),Gebäude,K03256,37396.0
2019,Nienburg (Weser),Gebäude,K03256,37613.0
2011,Schaumburg,Gebäude,K03257,43547.0
2012,Schaumburg,Gebäude,K03257,43700.0
2013,Schaumburg,Gebäude,K03257,43843.0
2014,Schaumburg,Gebäude,K03257,44004.0
2015,Schaumburg,Gebäude,K03257,44193.0
2016,Schaumburg,Gebäude,K03257,44353.0
2017,Schaumburg,Gebäude,K03257,44584.0
2018,Schaumburg,Gebäude,K03257,44863.0
2019,Schaumburg,Gebäude,K03257,45106.0
2011,Lüneburg,Gebäude,K033,520558.0
2012,Lüneburg,Gebäude,K033,523661.0
2013,Lüneburg,Gebäude,K033,527090.0
2014,Lüneburg,Gebäude,K033,530715.0
2015,Lüneburg,Gebäude,K033,534050.0
2016,Lüneburg,Gebäude,K033,538444.0
2017,Lüneburg,Gebäude,K033,542099.0
2018,Lüneburg,Gebäude,K033,545520.0
2019,Lüneburg,Gebäude,K033,549148.0
2011,Celle,Gebäude,K03351,55580.0
2012,Celle,Gebäude,K03351,55778.0
2013,Celle,Gebäude,K03351,55982.0
2014,Celle,Gebäude,K03351,56267.0
2015,Celle,Gebäude,K03351,56513.0
2016,Celle,Gebäude,K03351,56906.0
2017,Celle,Gebäude,K03351,57156.0
2018,Celle,Gebäude,K03351,57515.0
2019,Celle,Gebäude,K03351,57882.0
2011,Cuxhaven,Gebäude,K03352,64887.0
2012,Cuxhaven,Gebäude,K03352,65216.0
2013,Cuxhaven,Gebäude,K03352,65602.0
2014,Cuxhaven,Gebäude,K03352,65971.0
2015,Cuxhaven,Gebäude,K03352,66305.0
2016,Cuxhaven,Gebäude,K03352,66746.0
2017,Cuxhaven,Gebäude,K03352,67153.0
2018,Cuxhaven,Gebäude,K03352,67517.0
2019,Cuxhaven,Gebäude,K03352,68033.0
2011,Harburg,Gebäude,K03353,75373.0
2012,Harburg,Gebäude,K03353,76062.0
2013,Harburg,Gebäude,K03353,76819.0
2014,Harburg,Gebäude,K03353,77530.0
2015,Harburg,Gebäude,K03353,78138.0
2016,Harburg,Gebäude,K03353,78998.0
2017,Harburg,Gebäude,K03353,79649.0
2018,Harburg,Gebäude,K03353,80131.0
2019,Harburg,Gebäude,K03353,80729.0
2011,Lüchow-Dannenberg,Gebäude,K03354,17894.0
2012,Lüchow-Dannenberg,Gebäude,K03354,17927.0
2013,Lüchow-Dannenberg,Gebäude,K03354,17968.0
2014,Lüchow-Dannenberg,Gebäude,K03354,18027.0
2015,Lüchow-Dannenberg,Gebäude,K03354,18074.0
2016,Lüchow-Dannenberg,Gebäude,K03354,18171.0
2017,Lüchow-Dannenberg,Gebäude,K03354,18200.0
2018,Lüchow-Dannenberg,Gebäude,K03354,18256.0
2019,Lüchow-Dannenberg,Gebäude,K03354,18328.0
2011,Lüneburg,Gebäude,K03355,47970.0
2012,Lüneburg,Gebäude,K03355,48366.0
2013,Lüneburg,Gebäude,K03355,48810.0
2014,Lüneburg,Gebäude,K03355,49146.0
2015,Lüneburg,Gebäude,K03355,49447.0
2016,Lüneburg,Gebäude,K03355,49883.0
2017,Lüneburg,Gebäude,K03355,50264.0
2018,Lüneburg,Gebäude,K03355,50535.0
2019,Lüneburg,Gebäude,K03355,50566.0
2011,Osterholz,Gebäude,K03356,35927.0
2012,Osterholz,Gebäude,K03356,36179.0
2013,Osterholz,Gebäude,K03356,36357.0
2014,Osterholz,Gebäude,K03356,36614.0
2015,Osterholz,Gebäude,K03356,36856.0
2016,Osterholz,Gebäude,K03356,37082.0
2017,Osterholz,Gebäude,K03356,37364.0
2018,Osterholz,Gebäude,K03356,37642.0
2019,Osterholz,Gebäude,K03356,37996.0
2011,Rotenburg (Wümme),Gebäude,K03357,52191.0
2012,Rotenburg (Wümme),Gebäude,K03357,52455.0
2013,Rotenburg (Wümme),Gebäude,K03357,52696.0
2014,Rotenburg (Wümme),Gebäude,K03357,53069.0
2015,Rotenburg (Wümme),Gebäude,K03357,53402.0
2016,Rotenburg (Wümme),Gebäude,K03357,53855.0
2017,Rotenburg (Wümme),Gebäude,K03357,54293.0
