Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2019,Braunschweig Stadt,Dringende persönliche o. humanitäre Gründe Härtefälle,K03101,50
2019,Salzgitter Stadt,Dringende persönliche o. humanitäre Gründe Härtefälle,K03102,80
2019,Wolfsburg Stadt,Dringende persönliche o. humanitäre Gründe Härtefälle,K03103,55
2019,Gifhorn,Dringende persönliche o. humanitäre Gründe Härtefälle,K03151,85
2019,Goslar,Dringende persönliche o. humanitäre Gründe Härtefälle,K03153,50
2019,Helmstedt,Dringende persönliche o. humanitäre Gründe Härtefälle,K03154,20
2019,Northeim,Dringende persönliche o. humanitäre Gründe Härtefälle,K03155,115
2019,Peine,Dringende persönliche o. humanitäre Gründe Härtefälle,K03157,75
2019,Wolfenbüttel,Dringende persönliche o. humanitäre Gründe Härtefälle,K03158,20
2019,Göttingen,Dringende persönliche o. humanitäre Gründe Härtefälle,K03159,75
2019,Statistische Region Braunschweig,Dringende persönliche o. humanitäre Gründe Härtefälle,K031,620
2019,Hannover Region,Dringende persönliche o. humanitäre Gründe Härtefälle,K03241,770
2019,Hannover Landeshauptstadt,Dringende persönliche o. humanitäre Gründe Härtefälle,K03241001,425
2019,Diepholz,Dringende persönliche o. humanitäre Gründe Härtefälle,K03251,125
2019,Hameln-Pyrmont,Dringende persönliche o. humanitäre Gründe Härtefälle,K03252,115
2019,Hildesheim,Dringende persönliche o. humanitäre Gründe Härtefälle,K03254,145
2019,Holzminden,Dringende persönliche o. humanitäre Gründe Härtefälle,K03255,20
2019,Nienburg (Weser),Dringende persönliche o. humanitäre Gründe Härtefälle,K03256,55
2019,Schaumburg,Dringende persönliche o. humanitäre Gründe Härtefälle,K03257,100
2019,Statistische Region Hannover,Dringende persönliche o. humanitäre Gründe Härtefälle,K032,1330
2019,Celle,Dringende persönliche o. humanitäre Gründe Härtefälle,K03351,150
2019,Cuxhaven,Dringende persönliche o. humanitäre Gründe Härtefälle,K03352,110
2019,Harburg,Dringende persönliche o. humanitäre Gründe Härtefälle,K03353,60
2019,Lüchow-Dannenberg,Dringende persönliche o. humanitäre Gründe Härtefälle,K03354,30
2019,Lüneburg,Dringende persönliche o. humanitäre Gründe Härtefälle,K03355,60
2019,Osterholz,Dringende persönliche o. humanitäre Gründe Härtefälle,K03356,45
2019,Rotenburg (Wümme),Dringende persönliche o. humanitäre Gründe Härtefälle,K03357,95
2019,Heidekreis,Dringende persönliche o. humanitäre Gründe Härtefälle,K03358,85
2019,Stade,Dringende persönliche o. humanitäre Gründe Härtefälle,K03359,50
2019,Uelzen,Dringende persönliche o. humanitäre Gründe Härtefälle,K03360,20
