Year,Gebietseinheit,Kategorie,GeoCode,Value
2011,Niedersachsen,1_Zimmer,K030,85123
2012,Niedersachsen,1_Zimmer,K030,85778
2013,Niedersachsen,1_Zimmer,K030,86855
2014,Niedersachsen,1_Zimmer,K030,88518
2015,Niedersachsen,1_Zimmer,K030,89345
2016,Niedersachsen,1_Zimmer,K030,90610
2017,Niedersachsen,1_Zimmer,K030,92556
2018,Niedersachsen,1_Zimmer,K030,94128
2019,Niedersachsen,1_Zimmer,K030,95179
2011,Braunschweig,1_Zimmer,K031,25929
2012,Braunschweig,1_Zimmer,K031,25854
2013,Braunschweig,1_Zimmer,K031,25988
2014,Braunschweig,1_Zimmer,K031,26482
2015,Braunschweig,1_Zimmer,K031,26663
2016,Braunschweig,1_Zimmer,K031,26947
2017,Braunschweig,1_Zimmer,K031,27205
2018,Braunschweig,1_Zimmer,K031,27396
2019,Braunschweig,1_Zimmer,K031,27622
2011,Braunschweig Stadt,1_Zimmer,K03101,6141
2012,Braunschweig Stadt,1_Zimmer,K03101,6174
2013,Braunschweig Stadt,1_Zimmer,K03101,6187
2014,Braunschweig Stadt,1_Zimmer,K03101,6341
2015,Braunschweig Stadt,1_Zimmer,K03101,6358
2016,Braunschweig Stadt,1_Zimmer,K03101,6380
2017,Braunschweig Stadt,1_Zimmer,K03101,6394
2018,Braunschweig Stadt,1_Zimmer,K03101,6468
2019,Braunschweig Stadt,1_Zimmer,K03101,6467
2011,Salzgitter.Stadt,1_Zimmer,K03102,1298
2012,Salzgitter.Stadt,1_Zimmer,K03102,1299
2013,Salzgitter.Stadt,1_Zimmer,K03102,1316
2014,Salzgitter.Stadt,1_Zimmer,K03102,1319
2015,Salzgitter.Stadt,1_Zimmer,K03102,1319
2016,Salzgitter.Stadt,1_Zimmer,K03102,1319
2017,Salzgitter.Stadt,1_Zimmer,K03102,1325
2018,Salzgitter.Stadt,1_Zimmer,K03102,1331
2019,Salzgitter.Stadt,1_Zimmer,K03102,1333
2011,Wolfsburg.Stadt,1_Zimmer,K03103,1666
2012,Wolfsburg.Stadt,1_Zimmer,K03103,1672
2013,Wolfsburg.Stadt,1_Zimmer,K03103,1689
2014,Wolfsburg.Stadt,1_Zimmer,K03103,1830
2015,Wolfsburg.Stadt,1_Zimmer,K03103,1831
2016,Wolfsburg.Stadt,1_Zimmer,K03103,1852
2017,Wolfsburg.Stadt,1_Zimmer,K03103,1894
2018,Wolfsburg.Stadt,1_Zimmer,K03103,1894
2019,Wolfsburg.Stadt,1_Zimmer,K03103,1970
2011,Gifhorn,1_Zimmer,K03151,721
2012,Gifhorn,1_Zimmer,K03151,720
2013,Gifhorn,1_Zimmer,K03151,751
2014,Gifhorn,1_Zimmer,K03151,752
2015,Gifhorn,1_Zimmer,K03151,758
2016,Gifhorn,1_Zimmer,K03151,764
2017,Gifhorn,1_Zimmer,K03151,782
2018,Gifhorn,1_Zimmer,K03151,795
2019,Gifhorn,1_Zimmer,K03151,845
2011,Goslar,1_Zimmer,K03153,2673
2012,Goslar,1_Zimmer,K03153,2665
2013,Goslar,1_Zimmer,K03153,2665
2014,Goslar,1_Zimmer,K03153,2682
2015,Goslar,1_Zimmer,K03153,2682
2016,Goslar,1_Zimmer,K03153,2682
2017,Goslar,1_Zimmer,K03153,2736
2018,Goslar,1_Zimmer,K03153,2740
2019,Goslar,1_Zimmer,K03153,2751
2011,Helmstedt,1_Zimmer,K03154,360
2012,Helmstedt,1_Zimmer,K03154,360
2013,Helmstedt,1_Zimmer,K03154,378
2014,Helmstedt,1_Zimmer,K03154,377
2015,Helmstedt,1_Zimmer,K03154,377
2016,Helmstedt,1_Zimmer,K03154,394
2017,Helmstedt,1_Zimmer,K03154,395
2018,Helmstedt,1_Zimmer,K03154,396
2019,Helmstedt,1_Zimmer,K03154,402
2011,Northeim,1_Zimmer,K03155,696
2012,Northeim,1_Zimmer,K03155,696
2013,Northeim,1_Zimmer,K03155,698
2014,Northeim,1_Zimmer,K03155,715
2015,Northeim,1_Zimmer,K03155,718
2016,Northeim,1_Zimmer,K03155,720
2017,Northeim,1_Zimmer,K03155,726
2018,Northeim,1_Zimmer,K03155,739
2019,Northeim,1_Zimmer,K03155,748
2011,Peine,1_Zimmer,K03157,734
2012,Peine,1_Zimmer,K03157,736
2013,Peine,1_Zimmer,K03157,739
2014,Peine,1_Zimmer,K03157,742
2015,Peine,1_Zimmer,K03157,835
2016,Peine,1_Zimmer,K03157,835
2017,Peine,1_Zimmer,K03157,861
2018,Peine,1_Zimmer,K03157,868
2019,Peine,1_Zimmer,K03157,874
2011,Wolfenbüttel,1_Zimmer,K03158,935
2012,Wolfenbüttel,1_Zimmer,K03158,935
2013,Wolfenbüttel,1_Zimmer,K03158,936
2014,Wolfenbüttel,1_Zimmer,K03158,936
2015,Wolfenbüttel,1_Zimmer,K03158,939
2016,Wolfenbüttel,1_Zimmer,K03158,1104
2017,Wolfenbüttel,1_Zimmer,K03158,1104
2018,Wolfenbüttel,1_Zimmer,K03158,1120
2019,Wolfenbüttel,1_Zimmer,K03158,1121
2011,Göttingen,1_Zimmer,K03159,10705
2012,Göttingen,1_Zimmer,K03159,10597
2013,Göttingen,1_Zimmer,K03159,10629
2014,Göttingen,1_Zimmer,K03159,10788
2015,Göttingen,1_Zimmer,K03159,10846
2016,Göttingen,1_Zimmer,K03159,10897
2017,Göttingen,1_Zimmer,K03159,10988
2018,Göttingen,1_Zimmer,K03159,11045
2019,Göttingen,1_Zimmer,K03159,11111
2011,Hannover,1_Zimmer,K032,30293
2012,Hannover,1_Zimmer,K032,30458
2013,Hannover,1_Zimmer,K032,30732
2014,Hannover,1_Zimmer,K032,31165
