Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2019,Braunschweig Stadt,Niederlassungserlaubnis ,K03101,400
2019,Salzgitter Stadt,Niederlassungserlaubnis ,K03102,270
2019,Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,330
2019,Gifhorn,Niederlassungserlaubnis ,K03151,170
2019,Goslar,Niederlassungserlaubnis ,K03153,250
2019,Helmstedt,Niederlassungserlaubnis ,K03154,95
2019,Northeim,Niederlassungserlaubnis ,K03155,425
2019,Peine,Niederlassungserlaubnis ,K03157,305
2019,Wolfenbüttel,Niederlassungserlaubnis ,K03158,125
2019,Göttingen,Niederlassungserlaubnis ,K03159,755
2019,Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3120
2019,Hannover Region,Niederlassungserlaubnis ,K03241,10095
2019,Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6480
2019,Diepholz,Niederlassungserlaubnis ,K03251,420
2019,Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,760
2019,Hildesheim,Niederlassungserlaubnis ,K03254,935
2019,Holzminden,Niederlassungserlaubnis ,K03255,85
2019,Nienburg (Weser),Niederlassungserlaubnis ,K03256,370
2019,Schaumburg,Niederlassungserlaubnis ,K03257,350
2019,Statistische Region Hannover,Niederlassungserlaubnis ,K032,13015
2019,Celle,Niederlassungserlaubnis ,K03351,520
2019,Cuxhaven,Niederlassungserlaubnis ,K03352,280
2019,Harburg,Niederlassungserlaubnis ,K03353,430
2019,Lüchow-Dannenberg,Niederlassungserlaubnis ,K03354,45
2019,Lüneburg,Niederlassungserlaubnis ,K03355,320
2019,Osterholz,Niederlassungserlaubnis ,K03356,250
2019,Rotenburg (Wümme),Niederlassungserlaubnis ,K03357,350
2019,Heidekreis,Niederlassungserlaubnis ,K03358,455
2019,Stade,Niederlassungserlaubnis ,K03359,225
2019,Uelzen,Niederlassungserlaubnis ,K03360,135
2019,Verden,Niederlassungserlaubnis ,K03361,335
2019,Statistische Region Lüneburg,Niederlassungserlaubnis ,K033,3345
2019,Delmenhorst.Stadt,Niederlassungserlaubnis ,K03401,385
2019,Emden Stadt,Niederlassungserlaubnis ,K03402,95
2019,Oldenburg (Oldb) Stadt,Niederlassungserlaubnis ,K03403,735
