Year,Gebietseinheit,Kategorien,GeoCode,Value
1991,Niedersachsen,Fälle,K030,21668
1992,Niedersachsen,Fälle,K030,24520
1993,Niedersachsen,Fälle,K030,29098
1994,Niedersachsen,Fälle,K030,30033
1995,Niedersachsen,Fälle,K030,24141
1996,Niedersachsen,Fälle,K030,27574
1997,Niedersachsen,Fälle,K030,25085
1998,Niedersachsen,Fälle,K030,31321
1999,Niedersachsen,Fälle,K030,32038
2000,Niedersachsen,Fälle,K030,23102
2001,Niedersachsen,Fälle,K030,21920
2002,Niedersachsen,Fälle,K030,22349
2003,Niedersachsen,Fälle,K030,20903
2004,Niedersachsen,Fälle,K030,15299
2005,Niedersachsen,Fälle,K030,17315
2006,Niedersachsen,Fälle,K030,12609
2007,Niedersachsen,Fälle,K030,11246
2008,Niedersachsen,Fälle,K030,10401
2009,Niedersachsen,Fälle,K030,8409
2010,Niedersachsen,Fälle,K030,12085
2011,Niedersachsen,Fälle,K030,11655
2012,Niedersachsen,Fälle,K030,14848
2013,Niedersachsen,Fälle,K030,15223
2014,Niedersachsen,Fälle,K030,13667
2015,Niedersachsen,Fälle,K030,15703
2016,Niedersachsen,Fälle,K030,15059
2017,Niedersachsen,Fälle,K030,15277
2018,Niedersachsen,Fälle,K030,14395
2019,Niedersachsen,Fälle,K030,14744
1991,Braunschweig,Fälle,,3234
1992,Braunschweig,Fälle,,3851
1993,Braunschweig,Fälle,,4768
1994,Braunschweig,Fälle,,4377
1995,Braunschweig,Fälle,,3643
1996,Braunschweig,Fälle,,4643
1997,Braunschweig,Fälle,,3802
1998,Braunschweig,Fälle,,4558
1999,Braunschweig,Fälle,,4915
2000,Braunschweig,Fälle,,4015
2001,Braunschweig,Fälle,,3519
2002,Braunschweig,Fälle,,3768
2003,Braunschweig,Fälle,,3736
2004,Braunschweig,Fälle,,2577
2005,Braunschweig,Fälle,,3123
2006,Braunschweig,Fälle,,2000
2007,Braunschweig,Fälle,,1818
2008,Braunschweig,Fälle,,1684
2009,Braunschweig,Fälle,,1329
2010,Braunschweig,Fälle,,1701
2011,Braunschweig,Fälle,,1702
2012,Braunschweig,Fälle,,2072
2013,Braunschweig,Fälle,,2156
2014,Braunschweig,Fälle,,2078
2015,Braunschweig,Fälle,,2605
2016,Braunschweig,Fälle,,2344
2017,Braunschweig,Fälle,,2233
2018,Braunschweig,Fälle,,2312
2019,Braunschweig,Fälle,,2508
1991,Braunschweig-Stadt,Fälle,K03101,228
1992,Braunschweig-Stadt,Fälle,K03101,206
1993,Braunschweig-Stadt,Fälle,K03101,182
1994,Braunschweig-Stadt,Fälle,K03101,124
1995,Braunschweig-Stadt,Fälle,K03101,101
1996,Braunschweig-Stadt,Fälle,K03101,222
1997,Braunschweig-Stadt,Fälle,K03101,176
1998,Braunschweig-Stadt,Fälle,K03101,190
1999,Braunschweig-Stadt,Fälle,K03101,240
2000,Braunschweig-Stadt,Fälle,K03101,256
2001,Braunschweig-Stadt,Fälle,K03101,306
2002,Braunschweig-Stadt,Fälle,K03101,400
2003,Braunschweig-Stadt,Fälle,K03101,548
2004,Braunschweig-Stadt,Fälle,K03101,314
2005,Braunschweig-Stadt,Fälle,K03101,535
2006,Braunschweig-Stadt,Fälle,K03101,271
2007,Braunschweig-Stadt,Fälle,K03101,231
2008,Braunschweig-Stadt,Fälle,K03101,193
2009,Braunschweig-Stadt,Fälle,K03101,264
2010,Braunschweig-Stadt,Fälle,K03101,350
2011,Braunschweig-Stadt,Fälle,K03101,131
2012,Braunschweig-Stadt,Fälle,K03101,240
2013,Braunschweig-Stadt,Fälle,K03101,131
2014,Braunschweig-Stadt,Fälle,K03101,202
