Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2019,Braunschweig Stadt,Familiennachzug,K03101,90
2019,Salzgitter Stadt,Familiennachzug,K03102,5
2019,Wolfsburg Stadt,Familiennachzug,K03103,10
2019,Gifhorn,Familiennachzug,K03151,10
2019,Goslar,Familiennachzug,K03153,30
2019,Helmstedt,Familiennachzug,K03154,15
2019,Northeim,Familiennachzug,K03155,0
2019,Peine,Familiennachzug,K03157,40
2019,Wolfenbüttel,Familiennachzug,K03158,5
2019,Göttingen,Familiennachzug,K03159,60
2019,Statistische Region Braunschweig,Familiennachzug,K031,260
2019,Hannover Region,Familiennachzug,K03241,850
2019,Hannover Landeshauptstadt,Familiennachzug,K03241001,610
2019,Diepholz,Familiennachzug,K03251,0
2019,Hameln-Pyrmont,Familiennachzug,K03252,5
2019,Hildesheim,Familiennachzug,K03254,20
2019,Holzminden,Familiennachzug,K03255,0
2019,Nienburg (Weser),Familiennachzug,K03256,5
2019,Schaumburg,Familiennachzug,K03257,5
2019,Statistische Region Hannover,Familiennachzug,K032,885
2019,Celle,Familiennachzug,K03351,0
2019,Cuxhaven,Familiennachzug,K03352,5
2019,Harburg,Familiennachzug,K03353,10
2019,Lüchow-Dannenberg,Familiennachzug,K03354,0
2019,Lüneburg,Familiennachzug,K03355,15
2019,Osterholz,Familiennachzug,K03356,15
2019,Rotenburg (Wümme),Familiennachzug,K03357,5
2019,Heidekreis,Familiennachzug,K03358,5
2019,Stade,Familiennachzug,K03359,5
2019,Uelzen,Familiennachzug,K03360,5
2019,Verden,Familiennachzug,K03361,5
2019,Statistische Region Lüneburg,Familiennachzug,K033,70
2019,Delmenhorst.Stadt,Familiennachzug,K03401,5
2019,Emden Stadt,Familiennachzug,K03402,5
2019,Oldenburg (Oldb) Stadt,Familiennachzug,K03403,15
2019,Osnabrück Stadt,Familiennachzug,K03404,15
2019,Wilhelmshaven Stadt,Familiennachzug,K03405,5
2019,Ammerland,Familiennachzug,K03451,5
2019,Aurich,Familiennachzug,K03452,5
2019,Cloppenburg,Familiennachzug,K03453,5
2019,Emsland,Familiennachzug,K03454,15
2019,Friesland,Familiennachzug,K03455,0
2019,Grafschaft Bentheim,Familiennachzug,K03456,5
2019,Leer,Familiennachzug,K03457,5
2019,Oldenburg,Familiennachzug,K03458,10
2019,Osnabrück,Familiennachzug,K03459,10
2019,Vechta,Familiennachzug,K03460,10
2019,Wesermarsch,Familiennachzug,K03461,0
2019,Wittmund,Familiennachzug,K03462,0
2019,Statistische Region Weser-Ems,Familiennachzug,K034,110
2019,Niedersachsen,Familiennachzug,K030,1330
