Year,Gebietseinheit,Kategorien,GeoCode,Value
1992,Niedersachsen,Flaeche,K030,37494
1993,Niedersachsen,Flaeche,K030,43926
1994,Niedersachsen,Flaeche,K030,44671
1995,Niedersachsen,Flaeche,K030,38580
1996,Niedersachsen,Flaeche,K030,40326
1997,Niedersachsen,Flaeche,K030,35087
1998,Niedersachsen,Flaeche,K030,49079
1999,Niedersachsen,Flaeche,K030,43918
2000,Niedersachsen,Flaeche,K030,32570
2001,Niedersachsen,Flaeche,K030,30309
2002,Niedersachsen,Flaeche,K030,28077
2003,Niedersachsen,Flaeche,K030,24097
2004,Niedersachsen,Flaeche,K030,21015
2005,Niedersachsen,Flaeche,K030,21281
2006,Niedersachsen,Flaeche,K030,20285
2007,Niedersachsen,Flaeche,K030,22182
2008,Niedersachsen,Flaeche,K030,19701
2009,Niedersachsen,Flaeche,K030,15835
2010,Niedersachsen,Flaeche,K030,17546
2011,Niedersachsen,Flaeche,K030,17088
2012,Niedersachsen,Flaeche,K030,22409
2013,Niedersachsen,Flaeche,K030,22568
2014,Niedersachsen,Flaeche,K030,21016
2015,Niedersachsen,Flaeche,K030,23026
2016,Niedersachsen,Flaeche,K030,25222
2017,Niedersachsen,Flaeche,K030,24361
2018,Niedersachsen,Flaeche,K030,24337
2019,Niedersachsen,Flaeche,K030,24639
1991,Statistische Region Braunschweig,Flaeche,0,5368
1992,Statistische Region Braunschweig,Flaeche,0,5607
1993,Statistische Region Braunschweig,Flaeche,0,6558
1994,Statistische Region Braunschweig,Flaeche,0,6437
1995,Statistische Region Braunschweig,Flaeche,0,5947
1996,Statistische Region Braunschweig,Flaeche,0,5805
1997,Statistische Region Braunschweig,Flaeche,0,5013
1998,Statistische Region Braunschweig,Flaeche,0,6398
1999,Statistische Region Braunschweig,Flaeche,0,6007
2000,Statistische Region Braunschweig,Flaeche,0,4804
2001,Statistische Region Braunschweig,Flaeche,0,4363
2002,Statistische Region Braunschweig,Flaeche,0,4020
2003,Statistische Region Braunschweig,Flaeche,0,3908
2004,Statistische Region Braunschweig,Flaeche,0,3115
2005,Statistische Region Braunschweig,Flaeche,0,3185
2006,Statistische Region Braunschweig,Flaeche,0,3096
2007,Statistische Region Braunschweig,Flaeche,0,2866
2008,Statistische Region Braunschweig,Flaeche,0,2419
2009,Statistische Region Braunschweig,Flaeche,0,1567
2010,Statistische Region Braunschweig,Flaeche,0,1899
2011,Statistische Region Braunschweig,Flaeche,0,2350
2012,Statistische Region Braunschweig,Flaeche,0,3142
2013,Statistische Region Braunschweig,Flaeche,0,3309
2014,Statistische Region Braunschweig,Flaeche,0,3108
2015,Statistische Region Braunschweig,Flaeche,0,3953
2016,Statistische Region Braunschweig,Flaeche,0,3883
2017,Statistische Region Braunschweig,Flaeche,0,4022
2018,Statistische Region Braunschweig,Flaeche,0,3456
2019,Statistische Region Braunschweig,Flaeche,0,4132
1991,Braunschweig Stadt,Flaeche,K03101,608
1992,Braunschweig Stadt,Flaeche,K03101,407
1993,Braunschweig Stadt,Flaeche,K03101,338
1994,Braunschweig Stadt,Flaeche,K03101,276
1995,Braunschweig Stadt,Flaeche,K03101,448
1996,Braunschweig Stadt,Flaeche,K03101,276
1997,Braunschweig Stadt,Flaeche,K03101,346
1998,Braunschweig Stadt,Flaeche,K03101,370
1999,Braunschweig Stadt,Flaeche,K03101,315
2000,Braunschweig Stadt,Flaeche,K03101,380
2001,Braunschweig Stadt,Flaeche,K03101,351
2002,Braunschweig Stadt,Flaeche,K03101,344
2003,Braunschweig Stadt,Flaeche,K03101,384
2004,Braunschweig Stadt,Flaeche,K03101,377
2005,Braunschweig Stadt,Flaeche,K03101,571
2006,Braunschweig Stadt,Flaeche,K03101,264
2007,Braunschweig Stadt,Flaeche,K03101,359
2008,Braunschweig Stadt,Flaeche,K03101,241
2009,Braunschweig Stadt,Flaeche,K03101,371
2010,Braunschweig Stadt,Flaeche,K03101,352
2011,Braunschweig Stadt,Flaeche,K03101,271
2012,Braunschweig Stadt,Flaeche,K03101,386
2013,Braunschweig Stadt,Flaeche,K03101,427
2014,Braunschweig Stadt,Flaeche,K03101,381
2015,Braunschweig Stadt,Flaeche,K03101,257
2016,Braunschweig Stadt,Flaeche,K03101,275
2017,Braunschweig Stadt,Flaeche,K03101,312
2018,Braunschweig Stadt,Flaeche,K03101,228
2019,Braunschweig Stadt,Flaeche,K03101,181
1991,Salzgitter-Stadt,Flaeche,K03102,87
1992,Salzgitter-Stadt,Flaeche,K03102,827
1993,Salzgitter-Stadt,Flaeche,K03102,348
1994,Salzgitter-Stadt,Flaeche,K03102,242
1995,Salzgitter-Stadt,Flaeche,K03102,127
1996,Salzgitter-Stadt,Flaeche,K03102,181
1997,Salzgitter-Stadt,Flaeche,K03102,142
1998,Salzgitter-Stadt,Flaeche,K03102,228
1999,Salzgitter-Stadt,Flaeche,K03102,432
2000,Salzgitter-Stadt,Flaeche,K03102,217
2001,Salzgitter-Stadt,Flaeche,K03102,95
2002,Salzgitter-Stadt,Flaeche,K03102,135
2003,Salzgitter-Stadt,Flaeche,K03102,153
2004,Salzgitter-Stadt,Flaeche,K03102,143
2005,Salzgitter-Stadt,Flaeche,K03102,101
2006,Salzgitter-Stadt,Flaeche,K03102,564
2007,Salzgitter-Stadt,Flaeche,K03102,72
2008,Salzgitter-Stadt,Flaeche,K03102,97
2009,Salzgitter-Stadt,Flaeche,K03102,33
2010,Salzgitter-Stadt,Flaeche,K03102,129
2011,Salzgitter-Stadt,Flaeche,K03102,57
2012,Salzgitter-Stadt,Flaeche,K03102,129
2013,Salzgitter-Stadt,Flaeche,K03102,73
2014,Salzgitter-Stadt,Flaeche,K03102,110
2015,Salzgitter-Stadt,Flaeche,K03102,97
2016,Salzgitter-Stadt,Flaeche,K03102,90
2017,Salzgitter-Stadt,Flaeche,K03102,57
2018,Salzgitter-Stadt,Flaeche,K03102,86
2019,Salzgitter-Stadt,Flaeche,K03102,431
1991,Wolfsburg-Stadt,Flaeche,K03103,122
1992,Wolfsburg-Stadt,Flaeche,K03103,119
1993,Wolfsburg-Stadt,Flaeche,K03103,410
1994,Wolfsburg-Stadt,Flaeche,K03103,95
1995,Wolfsburg-Stadt,Flaeche,K03103,183
1996,Wolfsburg-Stadt,Flaeche,K03103,144
1997,Wolfsburg-Stadt,Flaeche,K03103,151
1998,Wolfsburg-Stadt,Flaeche,K03103,182
1999,Wolfsburg-Stadt,Flaeche,K03103,500
2000,Wolfsburg-Stadt,Flaeche,K03103,280
2001,Wolfsburg-Stadt,Flaeche,K03103,135
2002,Wolfsburg-Stadt,Flaeche,K03103,289
2003,Wolfsburg-Stadt,Flaeche,K03103,524
2004,Wolfsburg-Stadt,Flaeche,K03103,262
2005,Wolfsburg-Stadt,Flaeche,K03103,277
2006,Wolfsburg-Stadt,Flaeche,K03103,301
2007,Wolfsburg-Stadt,Flaeche,K03103,197
2008,Wolfsburg-Stadt,Flaeche,K03103,184
2009,Wolfsburg-Stadt,Flaeche,K03103,165
2010,Wolfsburg-Stadt,Flaeche,K03103,154
2011,Wolfsburg-Stadt,Flaeche,K03103,231
2012,Wolfsburg-Stadt,Flaeche,K03103,244
2013,Wolfsburg-Stadt,Flaeche,K03103,223
2014,Wolfsburg-Stadt,Flaeche,K03103,163
2015,Wolfsburg-Stadt,Flaeche,K03103,524
2016,Wolfsburg-Stadt,Flaeche,K03103,254
2017,Wolfsburg-Stadt,Flaeche,K03103,178
2018,Wolfsburg-Stadt,Flaeche,K03103,229
2019,Wolfsburg-Stadt,Flaeche,K03103,89
1991,Gifhorn,Flaeche,K03151,1234
1992,Gifhorn,Flaeche,K03151,903
1993,Gifhorn,Flaeche,K03151,1184
1994,Gifhorn,Flaeche,K03151,1222
1995,Gifhorn,Flaeche,K03151,1197
1996,Gifhorn,Flaeche,K03151,1111
1997,Gifhorn,Flaeche,K03151,1026
1998,Gifhorn,Flaeche,K03151,1247
1999,Gifhorn,Flaeche,K03151,1077
2000,Gifhorn,Flaeche,K03151,1126
2001,Gifhorn,Flaeche,K03151,1135
2002,Gifhorn,Flaeche,K03151,857
2003,Gifhorn,Flaeche,K03151,671
2004,Gifhorn,Flaeche,K03151,743
2005,Gifhorn,Flaeche,K03151,539
2006,Gifhorn,Flaeche,K03151,564
2007,Gifhorn,Flaeche,K03151,598
2008,Gifhorn,Flaeche,K03151,378
2009,Gifhorn,Flaeche,K03151,272
2010,Gifhorn,Flaeche,K03151,265
2011,Gifhorn,Flaeche,K03151,568
2012,Gifhorn,Flaeche,K03151,667
2013,Gifhorn,Flaeche,K03151,932
2014,Gifhorn,Flaeche,K03151,714
2015,Gifhorn,Flaeche,K03151,988
2016,Gifhorn,Flaeche,K03151,1284
2017,Gifhorn,Flaeche,K03151,892
2018,Gifhorn,Flaeche,K03151,1053
2019,Gifhorn,Flaeche,K03151,843
1991,Goslar,Flaeche,K03153,486
1992,Goslar,Flaeche,K03153,397
1993,Goslar,Flaeche,K03153,423
1994,Goslar,Flaeche,K03153,600
1995,Goslar,Flaeche,K03153,412
1996,Goslar,Flaeche,K03153,492
1997,Goslar,Flaeche,K03153,457
1998,Goslar,Flaeche,K03153,724
1999,Goslar,Flaeche,K03153,588
2000,Goslar,Flaeche,K03153,335
2001,Goslar,Flaeche,K03153,224
2002,Goslar,Flaeche,K03153,252
2003,Goslar,Flaeche,K03153,294
2004,Goslar,Flaeche,K03153,187
2005,Goslar,Flaeche,K03153,152
2006,Goslar,Flaeche,K03153,153
2007,Goslar,Flaeche,K03153,192
2008,Goslar,Flaeche,K03153,253
2009,Goslar,Flaeche,K03153,59
2010,Goslar,Flaeche,K03153,52
2011,Goslar,Flaeche,K03153,100
2012,Goslar,Flaeche,K03153,101
2013,Goslar,Flaeche,K03153,120
2014,Goslar,Flaeche,K03153,92
2015,Goslar,Flaeche,K03153,229
2016,Goslar,Flaeche,K03153,83
2017,Goslar,Flaeche,K03153,266
2018,Goslar,Flaeche,K03153,122
2019,Goslar,Flaeche,K03153,278
1991,Helmstedt,Flaeche,K03154,366
1992,Helmstedt,Flaeche,K03154,360
1993,Helmstedt,Flaeche,K03154,353
1994,Helmstedt,Flaeche,K03154,539
1995,Helmstedt,Flaeche,K03154,495
1996,Helmstedt,Flaeche,K03154,426
1997,Helmstedt,Flaeche,K03154,312
1998,Helmstedt,Flaeche,K03154,392
1999,Helmstedt,Flaeche,K03154,440
2000,Helmstedt,Flaeche,K03154,394
2001,Helmstedt,Flaeche,K03154,485
2002,Helmstedt,Flaeche,K03154,578
2003,Helmstedt,Flaeche,K03154,356
2004,Helmstedt,Flaeche,K03154,157
2005,Helmstedt,Flaeche,K03154,186
2006,Helmstedt,Flaeche,K03154,145
2007,Helmstedt,Flaeche,K03154,163
2008,Helmstedt,Flaeche,K03154,174
2009,Helmstedt,Flaeche,K03154,116
2010,Helmstedt,Flaeche,K03154,201
2011,Helmstedt,Flaeche,K03154,108
2012,Helmstedt,Flaeche,K03154,167
2013,Helmstedt,Flaeche,K03154,295
2014,Helmstedt,Flaeche,K03154,257
2015,Helmstedt,Flaeche,K03154,535
2016,Helmstedt,Flaeche,K03154,351
2017,Helmstedt,Flaeche,K03154,283
2018,Helmstedt,Flaeche,K03154,362
2019,Helmstedt,Flaeche,K03154,479
1991,Northeim,Flaeche,K03155,511
1992,Northeim,Flaeche,K03155,460
1993,Northeim,Flaeche,K03155,521
1994,Northeim,Flaeche,K03155,676
1995,Northeim,Flaeche,K03155,373
1996,Northeim,Flaeche,K03155,636
1997,Northeim,Flaeche,K03155,478
1998,Northeim,Flaeche,K03155,604
1999,Northeim,Flaeche,K03155,483
2000,Northeim,Flaeche,K03155,442
2001,Northeim,Flaeche,K03155,415
2002,Northeim,Flaeche,K03155,363
2003,Northeim,Flaeche,K03155,200
2004,Northeim,Flaeche,K03155,235
2005,Northeim,Flaeche,K03155,217
2006,Northeim,Flaeche,K03155,199
2007,Northeim,Flaeche,K03155,210
2008,Northeim,Flaeche,K03155,151
2009,Northeim,Flaeche,K03155,109
2010,Northeim,Flaeche,K03155,128
2011,Northeim,Flaeche,K03155,146
2012,Northeim,Flaeche,K03155,287
