Year,Gebietseinheit,Kategorien,GeoCode,Value
2012,Niedersachsen,Bestand_Jahresbeginn,K030,3820559
2012,Braunschweig,Bestand_Jahresbeginn,K031,820366
2012,Braunschweig Stadt,Bestand_Jahresbeginn,K03101,135723
2012,Salzgitter.Stadt,Bestand_Jahresbeginn,K03102,54966
2012,Wolfsburg.Stadt,Bestand_Jahresbeginn,K03103,63912
2012,Gifhorn,Bestand_Jahresbeginn,K03151,75932
2012,Goslar,Bestand_Jahresbeginn,K03153,80233
2012,Helmstedt,Bestand_Jahresbeginn,K03154,47205
2012,Northeim,Bestand_Jahresbeginn,K03155,68858
2012,Peine,Bestand_Jahresbeginn,K03157,60912
2012,Wolfenbüttel,Bestand_Jahresbeginn,K03158,59846
2012,Göttingen,Bestand_Jahresbeginn,K03159,172779
2012,Hannover,Bestand_Jahresbeginn,K032,1068063
2012,Hannover Region,Bestand_Jahresbeginn,K03241,581008
2012,Hannover Landeshauptstadt,Bestand_Jahresbeginn,K03241001,289399
2012,Diepholz,Bestand_Jahresbeginn,K03251,95989
2012,Hameln-Pyrmont,Bestand_Jahresbeginn,K03252,79401
2012,Hildesheim,Bestand_Jahresbeginn,K03254,139530
2012,Holzminden,Bestand_Jahresbeginn,K03255,38186
2012,Nienburg (Weser),Bestand_Jahresbeginn,K03256,55706
2012,Schaumburg,Bestand_Jahresbeginn,K03257,78243
2012,Lüneburg,Bestand_Jahresbeginn,K033,800794
2012,Celle,Bestand_Jahresbeginn,K03351,87113
2012,Cuxhaven,Bestand_Jahresbeginn,K03352,99501
2012,Harburg,Bestand_Jahresbeginn,K03353,113640
2012,Lüchow-Dannenberg,Bestand_Jahresbeginn,K03354,26055
2012,Lüneburg,Bestand_Jahresbeginn,K03355,84930
2012,Osterholz,Bestand_Jahresbeginn,K03356,50382
2012,Rotenburg (Wümme),Bestand_Jahresbeginn,K03357,72662
2012,Heidekreis,Bestand_Jahresbeginn,K03358,66345
2012,Stade,Bestand_Jahresbeginn,K03359,91796
2012,Uelzen,Bestand_Jahresbeginn,K03360,47250
2012,Verden,Bestand_Jahresbeginn,K03361,61120
2012,Weser-Ems,Bestand_Jahresbeginn,K034,1131336
2012,Delmenhorst.Stadt,Bestand_Jahresbeginn,K03401,37543
2012,Emden Stadt,Bestand_Jahresbeginn,K03402,25540
2012,Oldenburg (Oldb) Stadt,Bestand_Jahresbeginn,K03403,85582
2012,Osnabrück Stadt,Bestand_Jahresbeginn,K03404,84484
2012,Wilhelmshaven Stadt,Bestand_Jahresbeginn,K03405,45124
2012,Ammerland,Bestand_Jahresbeginn,K03451,54651
2012,Aurich,Bestand_Jahresbeginn,K03452,92958
2012,Cloppenburg,Bestand_Jahresbeginn,K03453,61015
2012,Emsland,Bestand_Jahresbeginn,K03454,126879
2012,Friesland,Bestand_Jahresbeginn,K03455,49528
2012,Grafschaft Bentheim,Bestand_Jahresbeginn,K03456,56947
2012,Leer,Bestand_Jahresbeginn,K03457,76743
2012,Oldenburg,Bestand_Jahresbeginn,K03458,55200
2012,Osnabrück,Bestand_Jahresbeginn,K03459,152212
2012,Vechta,Bestand_Jahresbeginn,K03460,52370
2012,Wesermarsch,Bestand_Jahresbeginn,K03461,45262
2012,Wittmund,Bestand_Jahresbeginn,K03462,29298
2013,Niedersachsen,Bestand_Jahresbeginn,K030,3840475
2013,Braunschweig,Bestand_Jahresbeginn,K031,822205
2013,Braunschweig Stadt,Bestand_Jahresbeginn,K03101,136237
2013,Salzgitter.Stadt,Bestand_Jahresbeginn,K03102,55028
2013,Wolfsburg.Stadt,Bestand_Jahresbeginn,K03103,63875
2013,Gifhorn,Bestand_Jahresbeginn,K03151,76341
2013,Goslar,Bestand_Jahresbeginn,K03153,80265
2013,Helmstedt,Bestand_Jahresbeginn,K03154,47254
2013,Northeim,Bestand_Jahresbeginn,K03155,68938
2013,Peine,Bestand_Jahresbeginn,K03157,61174
2013,Wolfenbüttel,Bestand_Jahresbeginn,K03158,60011
2013,Göttingen,Bestand_Jahresbeginn,K03159,173082
2013,Hannover,Bestand_Jahresbeginn,K032,1072232
2013,Hannover Region,Bestand_Jahresbeginn,K03241,583514
2013,Hannover Landeshauptstadt,Bestand_Jahresbeginn,K03241001,290418
2013,Diepholz,Bestand_Jahresbeginn,K03251,96778
2013,Hameln-Pyrmont,Bestand_Jahresbeginn,K03252,79505
2013,Hildesheim,Bestand_Jahresbeginn,K03254,139773
2013,Holzminden,Bestand_Jahresbeginn,K03255,38234
2013,Nienburg (Weser),Bestand_Jahresbeginn,K03256,55935
2013,Schaumburg,Bestand_Jahresbeginn,K03257,78493
2013,Lüneburg,Bestand_Jahresbeginn,K033,805081
2013,Celle,Bestand_Jahresbeginn,K03351,87243
2013,Cuxhaven,Bestand_Jahresbeginn,K03352,100119
2013,Harburg,Bestand_Jahresbeginn,K03353,114640
2013,Lüchow-Dannenberg,Bestand_Jahresbeginn,K03354,26095
2013,Lüneburg,Bestand_Jahresbeginn,K03355,85570
2013,Osterholz,Bestand_Jahresbeginn,K03356,50700
2013,Rotenburg (Wümme),Bestand_Jahresbeginn,K03357,73096
2013,Heidekreis,Bestand_Jahresbeginn,K03358,66497
2013,Stade,Bestand_Jahresbeginn,K03359,92584
2013,Uelzen,Bestand_Jahresbeginn,K03360,47357
2013,Verden,Bestand_Jahresbeginn,K03361,61180
2013,Weser-Ems,Bestand_Jahresbeginn,K034,1140957
2013,Delmenhorst.Stadt,Bestand_Jahresbeginn,K03401,37729
2013,Emden Stadt,Bestand_Jahresbeginn,K03402,25641
2013,Oldenburg (Oldb) Stadt,Bestand_Jahresbeginn,K03403,86642
2013,Osnabrück Stadt,Bestand_Jahresbeginn,K03404,84790
2013,Wilhelmshaven Stadt,Bestand_Jahresbeginn,K03405,45188
2013,Ammerland,Bestand_Jahresbeginn,K03451,55334
2013,Aurich,Bestand_Jahresbeginn,K03452,93614
2013,Cloppenburg,Bestand_Jahresbeginn,K03453,61899
2013,Emsland,Bestand_Jahresbeginn,K03454,128719
2013,Friesland,Bestand_Jahresbeginn,K03455,49836
2013,Grafschaft Bentheim,Bestand_Jahresbeginn,K03456,57425
2013,Leer,Bestand_Jahresbeginn,K03457,77393
2013,Oldenburg,Bestand_Jahresbeginn,K03458,55487
