Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2019,Braunschweig Stadt,Duldung,K03101,480
2019,Salzgitter Stadt,Duldung,K03102,225
2019,Wolfsburg Stadt,Duldung,K03103,385
2019,Gifhorn,Duldung,K03151,405
2019,Goslar,Duldung,K03153,345
2019,Helmstedt,Duldung,K03154,270
2019,Northeim,Duldung,K03155,305
2019,Peine,Duldung,K03157,280
2019,Wolfenbüttel,Duldung,K03158,370
2019,Göttingen,Duldung,K03159,1110
2019,Statistische Region Braunschweig,Duldung,K031,4165
2019,Hannover Region,Duldung,K03241,2845
2019,Hannover Landeshauptstadt,Duldung,K03241001,1365
2019,Diepholz,Duldung,K03251,625
2019,Hameln-Pyrmont,Duldung,K03252,450
2019,Hildesheim,Duldung,K03254,645
2019,Holzminden,Duldung,K03255,100
2019,Nienburg (Weser),Duldung,K03256,295
2019,Schaumburg,Duldung,K03257,530
2019,Statistische Region Hannover,Duldung,K032,5490
2019,Celle,Duldung,K03351,375
2019,Cuxhaven,Duldung,K03352,385
2019,Harburg,Duldung,K03353,975
2019,Lüchow-Dannenberg,Duldung,K03354,85
2019,Lüneburg,Duldung,K03355,400
2019,Osterholz,Duldung,K03356,195
2019,Rotenburg (Wümme),Duldung,K03357,335
2019,Heidekreis,Duldung,K03358,265
2019,Stade,Duldung,K03359,555
2019,Uelzen,Duldung,K03360,150
2019,Verden,Duldung,K03361,240
2019,Statistische Region Lüneburg,Duldung,K033,3955
2019,Delmenhorst.Stadt,Duldung,K03401,155
2019,Emden Stadt,Duldung,K03402,115
2019,Oldenburg (Oldb) Stadt,Duldung,K03403,270
2019,Osnabrück Stadt,Duldung,K03404,555
2019,Wilhelmshaven Stadt,Duldung,K03405,180
2019,Ammerland,Duldung,K03451,195
2019,Aurich,Duldung,K03452,455
2019,Cloppenburg,Duldung,K03453,240
2019,Emsland,Duldung,K03454,730
2019,Friesland,Duldung,K03455,300
2019,Grafschaft Bentheim,Duldung,K03456,365
2019,Leer,Duldung,K03457,470
2019,Oldenburg,Duldung,K03458,160
2019,Osnabrück,Duldung,K03459,675
2019,Vechta,Duldung,K03460,175
2019,Wesermarsch,Duldung,K03461,275
2019,Wittmund,Duldung,K03462,125
2019,Statistische Region Weser-Ems,Duldung,K034,5440
2019,Niedersachsen,Duldung,K030,19055
2018,Braunschweig Stadt,Duldung,K03101,430
2018,Salzgitter Stadt,Duldung,K03102,185
2018,Wolfsburg Stadt,Duldung,K03103,300
2018,Gifhorn,Duldung,K03151,345
2018,Göttingen,Duldung,K03159,345
2018,Goslar,Duldung,K03153,275
2018,Helmstedt,Duldung,K03154,330
2018,Northeim,Duldung,K03155,230
2018,Peine,Duldung,K03157,320
2018,Wolfenbüttel,Duldung,K03158,1040
2018,Statistische Region Braunschweig,Duldung,K031,3800
2018,Hannover Region,Duldung,K03241,2810
2018,Hannover Landeshauptstadt,Duldung,K03241001,1295
2018,Diepholz,Duldung,K03251,585
