Value,Disaggregation combinations using this value,Number of indicators
Ammerland,22,2
Aurich,22,2
Braunschweig St,18,2
Braunschweig-St,4,2
Braunschweig,38,8
Celle (oh.Celle,22,2
Celle Stadt,18,2
Celle-Stadt,4,2
Celle,22,2
Cloppenburg,22,2
Cuxhaven (oh. C,22,2
Cuxhaven Stadt,18,2
Cuxhaven-Stadt,4,2
Cuxhaven,22,2
Delmenhorst Sta,18,2
Delmenhorst-Sta,4,2
Diepholz,22,2
Emden Stadt,18,2
Emden-Stadt,4,2
Emsland (oh. Li,22,2
Emsland,22,2
Friesland,22,2
Garbsen Stadt,18,2
Garbsen-Stadt,4,2
Gifhorn,22,2
Goslar (oh. Gos,22,2
Goslar Stadt,18,2
Goslar-Stadt,4,2
Goslar,22,2
Göttingen (oh.,22,2
Göttingen Stadt,18,2
Göttingen-Stadt,4,2
Göttingen,22,2
Grafschaft Bent,22,2
Grfsch.Bentheim,22,2
Hameln-Pyrmont,44,2
Hameln Stadt,18,2
Hameln-Stadt,4,2
Hann.Reg.(oh.Ha,22,2
Hannover Landes,18,2
Hannover-Landes,4,2
Hannover Landeshauptstadt,36,16
Hannover-Landeshauptstadt,1,1
Hannover Region,18,2
Hannover-Region,4,2
Hannover,38,8
Harburg,22,2
Heidekreis,22,2
Helmstedt,22,2
Hildesheim(oh.H,22,2
Hildesheim Stad,18,2
Hildesheim-Stad,4,2
Hildesheim,22,2
Holzminden,22,2
Langenhagen Sta,18,2
Langenhagen-Sta,4,2
Leer,22,2
Lingen (Ems) St,20,2
Lingen (Ems)-St,2,2
Lneburg,1,1
Lüchow-Dannenbe,22,2
Lüneburg Hanses,18,2
Lüneburg-Hanses,4,2
Lüneburg (oh. L,22,2
Lüneburg,59,7
Melle Stadt,20,2
Melle-Stadt,2,2
Niedersachsen,60,20
Nienburg (Weser,22,2
Nordhorn Stadt,20,2
Nordhorn-Stadt,2,2
Northeim,22,2
Oldenburg(Oldb),22,2
Oldenburg,22,2
Osnabrück (oh.M,22,2
Osnabrück Stadt,20,2
Osnabrück-Stadt,2,2
Osnabrück,22,2
Osterholz,22,2
Peine (oh. Pein,22,2
Peine Stadt,18,2
Peine-Stadt,4,2
Peine,22,2
Rotenburg (Wümm,22,2
Salzgitter Stad,18,2
Salzgitter-Stad,4,2
Schaumburg,22,2
Stade Hansestad,18,2
Stade-Hansestad,4,2
Stade (oh.Stade,22,2
Stade,22,2
Stat. Region Braunschweig,1,1
Stat. Region Hannover,1,1
Stat. Region Lüneburg,1,1
Stat. Region Weser-Ems,1,1
Statistische Region Braunschweig,21,11
Statistische Region Hannover,21,11
Statistische Region L�neburg,1,1
Statistische Region Lüneburg,20,10
Statistische Region Weser-Ems,20,10
Statistische Region Weser Ems,1,1
Uelzen,22,2
Vechta,22,2
Verden,22,2
Weser-Ems,38,8
Wesermarsch,22,2
Wilhelmshaven S,20,2
Wilhelmshaven-S,2,2
Wittmund,22,2
Wolfenbüttel (o,22,2
Wolfenbüttel St,18,2
Wolfenbüttel-St,4,2
Wolfenbüttel,22,2
Wolfsburg Stadt,18,2
Wolfsburg-Stadt,4,2
